Technician ID,Task ID,Expertise Match,Task Priority,Task Distance,Task Completed,Penalty Cost,Task Complexity,Equipment Required,Customer Rating
T009,J004,1,3,15,1,67,3,1,5
T003,J005,1,3,14,1,31,5,1,3
T010,J007,0,1,14,1,42,8,1,5
T010,J008,0,1,14,1,42,5,0,3
T004,J009,0,3,27,0,87,3,0,3
T002,J010,0,2,27,1,41,6,0,3
T005,J012,0,2,9,1,78,9,0,3
T008,J014,0,2,27,0,79,6,0,3
T006,J015,0,1,9,0,25,5,0,1
T002,J017,0,2,9,1,81,9,0,3
T009,J018,1,3,3,1,91,5,1,4
T004,J020,1,3,28,0,91,5,0,1
T010,J023,0,2,9,0,83,9,0,3
T002,J024,1,1,9,1,12,5,0,1
T010,J025,1,3,13,0,130,10,0,4
T010,J027,1,1,4,1,30,4,1,4
T010,J028,1,1,4,1,30,7,0,3
T006,J029,1,1,15,1,18,4,0,3
T006,J030,1,1,15,1,18,6,0,5
T006,J031,1,1,15,1,18,3,0,5
T005,J032,1,2,29,0,37,2,0,1
T006,J041,1,3,30,1,37,1,0,3
T001,J042,1,2,9,0,66,9,0,3
T003,J043,0,3,2,1,64,5,0,3
T007,J045,1,1,29,0,26,10,1,3
T001,J047,0,1,2,0,49,7,0,5
T001,J048,0,1,2,0,49,6,1,5
T006,J049,1,3,7,0,33,4,0,4
